Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
469,484.38657,1080.2052,7783.411,241,2.0099027,46
470,480.34644,1078.1254,7788.1387,242,1.9849026,46
471,476.25635,1078.6339,7792.816,243,1.9599026,46
472,472.11624,1078.2482,7797.4434,244,1.9349027,46
473,504.67603,1058.7347,7802.0205,245,2.0599022,47
474,500.5858,1060.09,7806.548,246,2.0349016,47
475,683.3837,1038.6841,7811.025,204,3.3499203,48
476,681.6085,1038.8329,7815.4526,205,3.3249197,48
477,679.7833,1040.7716,7819.8296,206,3.2999191,48
478,483.72525,1064.328,7824.157,250,1.934901,47
479,479.38516,1093.539,7828.4346,251,1.909901,46
480,474.99506,1093.5522,7832.6616,252,1.884901,46
481,470.55496,1099.4637,7836.8394,253,1.8599011,46
482,466.06488,1100.6133,7840.9663,254,1.8349011,46
483,461.52478,1103.7245,7845.044,255,1.8099011,46
484,456.9347,1080.2457,7849.0713,256,1.7849011,47
485,452.2946,1083.7081,7853.049,257,1.7599012,47
486,447.6045,1085.2278,7856.976,258,1.7349012,47
487,442.8644,1084.8561,7860.8535,259,1.7099012,47
488,477.0743,1083.9882,7864.681,260,1.8349012,47
489,472.38422,1087.409,7868.4585,261,1.8099012,47
490,782.90576,1115.8752,7872.186,219,3.574912,46
491,813.9805,1119.7638,7949.812,220,3.6999116,46
492,458.01395,1144.5055,7953.5894,264,1.7349013,45
493,453.12384,1144.8752,7957.317,265,1.7099013,45
494,448.18375,1150.1385,8035.3945,266,1.6849014,45
495,443.19366,1148.1606,8039.172,267,1.6599014,45
496,939.35455,1125.4745,8042.8994,225,4.174909,46
497,433.06348,1152.6112,8046.5767,269,1.6099014,45
498,427.9234,1153.6641,8050.204,270,1.5849015,45
499,422.7333,1154.4802,8053.7817,271,1.5599015,45
500,417.4932,1182.3385,8132.609,272,1.5349015,44
501,453.1531,1182.2942,8136.237,273,1.6599015,44
502,447.963,1184.9044,8215.414,274,1.6349015,44
